SPEC_ID,NAME,RA,DEC,Z,Z_HELIO,Quality
99854,g2134403-704557,323.6680833,-70.76575,0.01255,0.012564,4
99855,g2130487-704013,322.7028333,-70.67013889,0.039699,0.039713,4
99856,g2129141-700506,322.3086667,-70.08494444,0.04064,0.040654,4
99857,g2132064-705808,323.0268333,-70.96880556,0.03238,0.032393,4
99858,g2129359-704621,322.399375,-70.77241667,0.068315,0.068329,4
99859,g2127440-704530,321.93325,-70.75836111,0.01233,0.012343,4
99860,g2126392-704822,321.66325,-70.80611111,0.012466,0.012479,4
99861,g2121410-705256,320.4209583,-70.88219444,0.043958,0.043972,4
99862,g2122473-711000,320.69725,-71.16675,0.033228,0.033242,4
99863,g2121366-711814,320.402625,-71.30391667,0.042694,0.042708,4
99864,g2119154-711500,319.8141667,-71.25005556,0.042427,0.042441,4
99865,g2117370-703910,319.4043333,-70.65272222,0.057228,0.057242,4
99866,g2115513-104122,318.9635833,-10.68952778,0.0624,0.0624,4
99868,g2111287-113750,317.8696667,-11.63066667,0.054222,0.054132,3
99869,g2111081-113019,317.7836667,-11.50522222,0.057272,0.057181,3
99871,g2113081-104936,318.283875,-10.82675,0.00844,0.008353,4
99872,g2109176-114433,317.3233333,-11.74238889,0.083113,0.08302,3
99874,g2110242-094921,317.600875,-9.82244444,0.01228,0.012193,3
99875,g2109450-105644,317.4373333,-10.9455,0.082283,0.082191,3
